"","tray","brand","amount","growth"
"1",1,1,2,2.82
"2",1,1,2,2.9
"3",1,1,2,3.06
"4",1,1,4,3.41
"5",1,1,4,3.82
"6",1,1,4,3.48
"7",1,1,6,3.95
"8",1,1,6,4.17
"9",1,1,6,4.06
"10",1,1,8,4.44
"11",1,1,8,4.41
"12",1,1,8,4.81
"13",2,2,2,3.17
"14",2,2,2,3.17
"15",2,2,2,3.19
"16",2,2,4,4.14
"17",2,2,4,3.89
"18",2,2,4,3.67
"19",2,2,6,4.66
"20",2,2,6,4.62
"21",2,2,6,5.13
"22",2,2,8,5.38
"23",2,2,8,5.58
"24",2,2,8,5.37
"25",3,1,2,2.65
"26",3,1,2,3.03
"27",3,1,2,2.83
"28",3,1,4,4.21
"29",3,1,4,3.25
"30",3,1,4,3.87
"31",3,1,6,3.99
"32",3,1,6,4.05
"33",3,1,6,4.22
"34",3,1,8,4.71
"35",3,1,8,4.65
"36",3,1,8,4.59
"37",4,2,2,3.43
"38",4,2,2,3.22
"39",4,2,2,3.17
"40",4,2,4,3.91
"41",4,2,4,4.17
"42",4,2,4,3.89
"43",4,2,6,4.65
"44",4,2,6,4.89
"45",4,2,6,4.69
"46",4,2,8,5.76
"47",4,2,8,5.62
"48",4,2,8,5.12
"49",5,1,2,4.13
"50",5,1,2,4.1
"51",5,1,2,3.64
"52",5,1,4,4.57
"53",5,1,4,4.6
"54",5,1,4,4.04
"55",5,1,6,4.71
"56",5,1,6,4.5
"57",5,1,6,5.39
"58",5,1,8,5.16
"59",5,1,8,5.32
"60",5,1,8,5.57
"61",6,2,2,4
"62",6,2,2,4.25
"63",6,2,2,3.97
"64",6,2,4,4.74
"65",6,2,4,5.06
"66",6,2,4,4.83
"67",6,2,6,5.41
"68",6,2,6,5.58
"69",6,2,6,6.25
"70",6,2,8,6.68
"71",6,2,8,6.74
"72",6,2,8,5.96
"73",7,1,2,4.18
"74",7,1,2,3.75
"75",7,1,2,3.98
"76",7,1,4,4.24
"77",7,1,4,4.37
"78",7,1,4,4.46
"79",7,1,6,4.72
"80",7,1,6,4.7
"81",7,1,6,5.07
"82",7,1,8,5.93
"83",7,1,8,5.4
"84",7,1,8,5.63
"85",8,2,2,3.97
"86",8,2,2,4.06
"87",8,2,2,3.96
"88",8,2,4,4.98
"89",8,2,4,4.93
"90",8,2,4,4.67
"91",8,2,6,5.31
"92",8,2,6,5.55
"93",8,2,6,5.32
"94",8,2,8,6.13
"95",8,2,8,6.5
"96",8,2,8,6.27
